state,n1_1987,n1_1988,n1_1989,n1_1990,n1_1991,n1_1992,n1_1993,n1_1994,n1_1995,n1_1996,n1_1997,n1_1998,n1_1999,n1_2000,n1_2001,n1_2002,n1_2003,n1_2004,n1_2005,n1_2006,n1_2007,n1_2008,n1_2009,n1_2010,n1_2011,n1_2012,n1_2013,n1_2014,n1_2015,n1_2016,n2_1987,n2_1988,n2_1989,n2_1990,n2_1991,n2_1992,n2_1993,n2_1994,n2_1995,n2_1996,n2_1997,n2_1998,n2_1999,n2_2000,n2_2001,n2_2002,n2_2003,n2_2004,n2_2005,n2_2006,n2_2007,n2_2008,n2_2009,n2_2010,n2_2011,n2_2012,n2_2013,n2_2014,n2_2015,n3_1987,n3_1988,n3_1989,n3_1990,n3_1991,n3_1992,n3_1993,n3_1994,n3_1995,n3_1996,n3_1997,n3_1998,n3_1999,n3_2000,n3_2001,n3_2002,n3_2003,n3_2004,n3_2005,n3_2006,n3_2007,n3_2008,n3_2009,n3_2010,n3_2011,n3_2012,n3_2013,n3_2014,n3_2015
Rhode Island,,,,,,,,,,,,,7700,8400,8800,8550,9350,9670,9990,10200,11785,12360,12900,12900,12900,12900,16700,15800,15800,15800,,,,,,,,,,,,,10954.56723,11561.80488,11777.24224,11264.56559,12044.07038,12133.16247,12123.91106,11991.93155,13471.6813,13606.54575,14251.71089,14021.71598,13592.65979,13317.0697,16991.04942,15818.75422,15800,,,,,,,,,,,,,6484.453782,6843.902439,6971.428571,6667.954419,7129.375,7182.112229,7176.635945,7098.511905,7974.435956,8054.267706,8436.167188,8300.023847,8046.04804,7882.915059,10057.69305,9363.763855,9352.662467
Virginia,,,,,,,,,,,,,8600,10050,10460,10840,11280,11675,12205,12820,13000,13000,13840,14050,14400,14400,14400,14400,14600,14600,,,,,,,,,,,,,12234.97119,13832.87369,13998.85839,14281.62468,14530.17261,14648.88023,14812.04549,15072.212,14860.57335,14311.09181,15290.20766,15271.71392,15173.20162,14865.56617,14650.96477,14417.09246,14600,,,,,,,,,,,,,7242.376951,8188.240418,8286.493506,8453.874375,8601,8671.267867,8767.852023,8921.855159,8796.577635,8471.317167,9050.89565,9039.948454,8981.635021,8799.533089,8672.501792,8534.06326,8642.333672
West Virginia,,,,,,,,,,,,,10800,10800,11350,11600,11800,12350,12700,13100,13450,13850,14350,14500,14900,15300,14800,14400,14600,14600,,,,,,,,,,,,,15364.84754,14865.1777,15189.96584,15282.9194,15200.00326,15495.81763,15412.77983,15401.40228,15374.97781,15246.81704,15853.64739,15760.84354,15700.0489,15794.66406,15057.93601,14417.09246,14600,,,,,,,,,,,,,9095.078031,8799.303136,8991.558442,9046.581434,8997.5,9172.604553,9123.451101,9116.71627,9101.074553,9025.210982,9384.418539,9329.484169,9293.497348,9349.503907,8913.40462,8534.06326,8642.333672
Midwest Region,,,,,,,,,,,,,9895.833333,10229.16667,10566.66667,10867.91667,11336.66667,11674.58333,12047.5,12373.33333,12725.83333,13085.83333,13509.16667,13757.5,14088.33333,14241.25,14131.66667,14344.58333,14578.33333,14695.41667,,,,,,,,,,,,,14078.51578,14079.47965,14141.61284,14318.40469,14603.16697,14648.35743,14620.90275,14547.07513,14547.16767,14405.58171,14924.70835,14953.77966,14844.80015,14701.68363,14377.95489,14361.61001,14578.33333,,,,,,,,,,,,,8333.645958,8334.216512,8370.995671,8475.645961,8644.208333,8670.9584,8654.706861,8611.005291,8611.060068,8527.249582,8834.54175,8851.750238,8787.240837,8702.524347,8510.896145,8501.220945,8629.508291
Illinois,,,,,,,,,,,,,9690,9690,10000,10400,10820,11250,11700,11700,12000,12120,12250,12750,13100,13100,13100,13500,13900,13900,,,,,,,,,,,,,13785.68265,13337.36777,13383.22981,13701.92774,13937.63011,14115.62335,14199.17512,13755.45089,13717.45233,13342.34098,13533.60143,13858.67277,13803.3987,13523.53589,13328.30823,13516.02418,13900,,,,,,,,,,,,,8160.306122,7894.930314,7922.077922,8110.728182,8250.25,8355.611435,8405.069124,8142.410714,8119.917817,7897.874159,8011.088996,8203.511942,8170.792971,8005.130796,7889.567603,8000.684307,8227.975209
Indiana,,,,,,,,,,,,,9800,10250,10700,11025,11550,10670,10670,11000,11500,11800,12000,12000,12500,13000,13000,13500,14000,14000,,,,,,,,,,,,,13942.17647,14108.15476,14320.0559,14525.36089,14877.96929,13387.88454,12949.16226,12932.4752,13145.89181,12990.06795,13257.40548,13043.45673,13171.18196,13420.3028,13226.56542,13516.02418,14000,,,,,,,,,,,,,8252.941176,8351.190476,8476.623377,8598.151751,8806.875,7924.833245,7665.135689,7655.257937,7781.587908,7689.349428,7847.597384,7720.952416,7796.558178,7944.022927,7829.341896,8000.684307,8287.169275
Kentucky,,,,,,,,,,,,,10700,11010,11420,11700,12000,12000,12000,12000,12000,12000,12500,12500,13000,13000,13500,13500,14000,14000,,,,,,,,,,,,,15222.58043,15154.22282,15283.64845,15414.6687,15457.63043,15056.6649,14563.25653,14108.15476,13717.45233,13210.23859,13809.79738,13586.93409,13698.02924,13420.3028,13735.27947,13516.02418,14000,,,,,,,,,,,,,9010.864346,8970.400697,9047.012987,9124.569205,9150,8912.652197,8620.583717,8351.190476,8119.917817,7819.677385,8174.580608,8042.658767,8108.420505,7944.022927,8130.47043,8000.684307,8287.169275
Michigan,,,,,,,,,,,,,9400,9400,9400,9700,10000,10600,11200,11900,13700,14300,15200,15500,15700,15700,15700,15700,15700,15700,,,,,,,,,,,,,13373.10804,12938.21022,12580.23602,12779.6826,12881.3587,13300.054,13592.37276,13990.58681,15660.75807,15742.20099,16792.71361,16847.79827,16543.00455,16207.59645,15973.62131,15718.63553,15700,,,,,,,,,,,,,7916.086435,7658.652729,7446.753247,7564.813785,7625,7872.842774,8045.878136,8281.597222,9270.239508,9318.448884,9940.29002,9972.896871,9792.477072,9593.935382,9455.435982,9304.499527,9293.468401
Ohio,,,,,,,,,,,,,10700,11100,11500,10500,11000,11500,12000,12000,12000,12500,13000,13000,13500,13500,13500,14000,14000,14000,,,,,,,,,,,,,15222.58043,15278.0993,15390.71429,13833.67704,14169.49457,14429.30386,14563.25653,14108.15476,13717.45233,13760.6652,14362.18927,14130.41145,14224.87652,13936.46829,13735.27947,14016.61767,14000,,,,,,,,,,,,,9010.864346,9043.728223,9110.38961,8188.715953,8387.5,8541.291689,8620.583717,8351.190476,8119.917817,8145.497276,8501.563833,8364.365117,8420.282832,8249.562271,8130.47043,8297.005948,8287.169275
Wisconsin,,,,,,,,,,,,,9200,9200,9600,10000,10450,10850,10950,11350,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,,,,,,,,,,,,,13088.57383,12662.92915,12847.90062,13174.93052,13461.01984,13613.73452,13288.97158,13343.96305,13145.89181,12659.81199,12705.01359,12499.97936,12117.48741,11871.80632,11700.42325,11513.65023,11500,,,,,,,,,,,,,7747.659064,7495.702671,7605.194805,7798.777098,7968.125,8058.523028,7866.282642,7898.834325,7781.587908,7493.857494,7520.61416,7399.246065,7172.833524,7027.404897,6925.956292,6815.397743,6807.317619
